City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
208,Northam,GB,51.0333,-4.2167,46.62,85,78,0.96,broken clouds,2021-11-24 03:02:23
209,Te Anau,NZ,-45.4167,167.7167,68.18,39,97,2.86,overcast clouds,2021-11-24 02:58:46
210,Gazojak,TM,41.1875,61.4036,45.55,49,6,5.32,clear sky,2021-11-24 03:02:23
211,Najran,SA,17.4924,44.1277,57.11,36,19,1.83,few clouds,2021-11-24 03:02:24
212,Bathsheba,BB,13.2167,-59.5167,79.18,84,87,12.57,overcast clouds,2021-11-24 03:02:24
213,Lora Del Rio,ES,37.659,-5.5275,43.68,82,17,2.82,few clouds,2021-11-24 03:02:24
214,Tambovka,RU,50.0969,128.0489,21.31,80,100,21.7,overcast clouds,2021-11-24 03:02:25
215,Carnarvon,AU,-24.8667,113.6333,88.7,32,0,11.27,clear sky,2021-11-24 03:02:25
216,Hovd,MN,48.0056,91.6419,29.52,51,100,6.69,overcast clouds,2021-11-24 03:02:25
217,Lithakia,GR,37.7167,20.8333,57.58,75,8,1.9,clear sky,2021-11-24 03:01:44
218,Kutum,SD,14.2,24.6667,57.54,26,0,6.53,clear sky,2021-11-24 03:02:26
219,Bafra,TR,41.5678,35.9069,55.81,87,100,14.97,light rain,2021-11-24 03:02:26
220,Batsfjord,NO,70.6345,29.7185,21.92,85,100,2.35,light snow,2021-11-24 03:02:26
221,Uddevalla,SE,58.3478,11.9424,47.07,80,26,11.07,scattered clouds,2021-11-24 03:02:26
222,Atar,MR,20.5169,-13.0499,78.06,37,59,6.42,broken clouds,2021-11-24 02:59:17
223,Morant Bay,JM,17.8815,-76.4093,73.62,81,47,4.81,scattered clouds,2021-11-24 03:02:27
224,Pitimbu,BR,-7.4706,-34.8086,78.8,76,12,9.24,few clouds,2021-11-24 03:02:27
225,Bustamante,MX,26.5333,-100.5,62.82,66,64,12.68,broken clouds,2021-11-24 03:02:27
226,Maceio,BR,-9.6658,-35.7353,76.44,88,20,3.44,few clouds,2021-11-24 03:00:17
227,Sao Filipe,CV,14.8961,-24.4956,78.8,73,100,2.08,overcast clouds,2021-11-24 03:02:28
228,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,5.01,clear sky,2021-11-24 03:02:28
229,Lavrentiya,RU,65.5833,-171.0,0.66,88,2,7.9,clear sky,2021-11-24 02:58:01
230,Alekseyevsk,RU,57.8406,108.3492,15.21,97,91,2.17,overcast clouds,2021-11-24 03:02:28
231,Katsuura,JP,35.1333,140.3,61.2,59,3,23.91,clear sky,2021-11-24 03:02:29
232,Calabozo,VE,8.9242,-67.4293,81.86,61,100,2.77,overcast clouds,2021-11-24 03:02:29
233,Codrington,AU,-38.2667,141.9667,67.6,72,75,11.34,broken clouds,2021-11-24 02:58:41
234,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.65,97,100,4.94,light rain,2021-11-24 03:02:29
235,Thompson,CA,55.7435,-97.8558,-3.84,71,75,8.05,broken clouds,2021-11-24 03:00:06
236,Walvis Bay,NA,-22.9575,14.5053,56.08,95,12,1.03,few clouds,2021-11-24 03:02:30
237,San Andres,CO,12.5847,-81.7006,81.57,69,100,14.2,overcast clouds,2021-11-24 03:02:30
238,Baoning,CN,25.3378,110.026,54.01,68,95,0.51,overcast clouds,2021-11-24 03:02:30
239,Olafsvik,IS,64.8945,-23.7142,33.1,66,49,17.27,scattered clouds,2021-11-24 03:02:30
240,Rocha,UY,-34.4833,-54.3333,47.35,86,0,6.4,clear sky,2021-11-24 03:01:26
241,Chunskiy,RU,56.0815,99.6342,19.54,86,87,3.2,overcast clouds,2021-11-24 03:02:31
242,Iqaluit,CA,63.7506,-68.5145,29.93,74,90,8.99,overcast clouds,2021-11-24 02:58:48
243,Kearney,US,40.6995,-99.0815,54.99,49,67,7.0,broken clouds,2021-11-24 03:00:06
244,Tessalit,ML,20.1986,1.0114,72.91,34,68,8.55,broken clouds,2021-11-24 03:02:31
245,Alice Springs,AU,-23.7,133.8833,72.95,60,90,12.66,overcast clouds,2021-11-24 03:02:32
246,Shache,CN,38.4167,77.2406,33.3,37,82,1.83,broken clouds,2021-11-24 03:02:32
247,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.67,90,6,7.96,clear sky,2021-11-24 03:02:04
248,Rio Grande,BR,-32.035,-52.0986,60.44,69,0,6.78,clear sky,2021-11-24 03:02:32
249,Umm Lajj,SA,25.0213,37.2685,75.09,37,0,5.82,clear sky,2021-11-24 03:02:22
250,Doha,QA,25.2867,51.5333,75.18,64,0,13.8,clear sky,2021-11-24 02:59:11
251,Bonavista,CA,48.6499,-53.1147,46.11,87,100,26.42,overcast clouds,2021-11-24 03:02:33
252,Ihosy,MG,-22.4,46.1167,71.98,80,98,5.55,overcast clouds,2021-11-24 03:02:33
253,Moree,AU,-29.4667,149.85,82.02,47,100,13.62,overcast clouds,2021-11-24 03:02:33
254,Coolum Beach,AU,-26.5333,153.1,82.35,76,88,8.88,light rain,2021-11-24 03:02:33
255,Puerto Madryn,AR,-42.7692,-65.0385,71.6,41,12,22.24,few clouds,2021-11-24 03:02:34
256,Belyy Yar,RU,53.6039,91.3903,31.89,73,40,8.95,light shower snow,2021-11-24 02:59:56
257,Boueni,YT,-12.9025,45.0761,80.58,74,24,13.2,few clouds,2021-11-24 03:02:34
258,Udachnyy,RU,66.4167,112.4,-11.81,87,100,8.99,overcast clouds,2021-11-24 03:02:34
259,Arauco,CL,-37.2463,-73.3175,53.15,92,0,3.04,clear sky,2021-11-24 03:02:34
260,Varhaug,NO,58.6147,5.6457,49.48,86,100,17.98,overcast clouds,2021-11-24 03:02:35
261,Cherskiy,RU,68.75,161.3,-33.36,100,37,4.54,scattered clouds,2021-11-24 03:02:35
262,Naze,JP,28.3667,129.4833,60.75,59,43,12.26,scattered clouds,2021-11-24 03:02:35
263,Bambous Virieux,MU,-20.3428,57.7575,79.21,72,16,9.75,few clouds,2021-11-24 03:02:36
264,Sibolga,ID,1.7427,98.7792,84.4,64,100,2.01,overcast clouds,2021-11-24 03:02:36
265,Christchurch,NZ,-43.5333,172.6333,68.47,55,42,5.99,scattered clouds,2021-11-24 02:59:22
266,Nha Trang,VN,12.25,109.1833,80.6,83,100,15.9,overcast clouds,2021-11-24 02:58:05
267,Souillac,MU,-20.5167,57.5167,79.36,73,8,8.93,clear sky,2021-11-24 03:01:05
268,Tashla,RU,51.7716,52.7427,9.63,96,51,6.24,broken clouds,2021-11-24 03:02:36
269,Shenjiamen,CN,29.9576,122.298,51.58,45,0,5.64,clear sky,2021-11-24 03:02:37
270,Cockburn Town,TC,21.4612,-71.1419,80.65,76,84,13.4,broken clouds,2021-11-24 03:02:37
271,Seoul,KR,37.5683,126.9778,45.84,45,41,7.0,scattered clouds,2021-11-24 03:00:29
272,Ecija,ES,37.5422,-5.0826,44.74,84,11,3.71,few clouds,2021-11-24 03:02:37
273,Salinas,US,36.6777,-121.6555,59.68,75,100,1.36,overcast clouds,2021-11-24 02:59:09
274,Laguna,US,38.421,-121.4238,58.84,71,1,5.75,clear sky,2021-11-24 03:02:38
275,Skegness,GB,53.1436,0.3363,46.69,90,74,8.23,broken clouds,2021-11-24 03:02:38
276,Beira,MZ,-19.8436,34.8389,77.49,84,97,2.21,light rain,2021-11-24 03:02:38
277,Mbandaka,CD,0.0487,18.2603,71.02,96,100,0.58,light rain,2021-11-24 03:02:38
278,Mokrousovo,RU,55.8103,66.7653,13.66,91,100,13.31,overcast clouds,2021-11-24 03:02:39
279,Ulaangom,MN,49.9811,92.0667,15.03,85,94,1.59,overcast clouds,2021-11-24 03:02:39
280,Bang Saphan,TH,11.2126,99.5117,78.01,92,100,9.37,overcast clouds,2021-11-24 03:02:39
281,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.31,94,100,46.15,moderate rain,2021-11-24 03:02:39
282,Kukuna,SL,9.4,-12.6667,73.53,65,17,0.74,few clouds,2021-11-24 03:02:40
283,Sorland,NO,67.667,12.6934,35.13,68,100,27.02,light rain,2021-11-24 03:02:40
