City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Kukuna,SL,73.53,few clouds,9.4,-12.6667,
284,Emerald,AU,93.31,overcast clouds,-23.5333,148.1667,
286,Broken Hill,AU,81.1,overcast clouds,-31.95,141.4333,
291,Luanda,AO,78.8,few clouds,-8.8368,13.2343,
300,Roebourne,AU,91.49,overcast clouds,-20.7833,117.1333,
304,Batemans Bay,AU,75.99,light rain,-35.7167,150.1833,
307,San Patricio,US,70.83,overcast clouds,28.017,-97.5169,
308,Kununurra,AU,93.18,broken clouds,-15.7667,128.7333,
313,Manaus,BR,79.29,clear sky,-3.1019,-60.025,
315,Waingapu,ID,88.03,overcast clouds,-9.6567,120.2641,
317,Camopi,GF,70.81,overcast clouds,3.1655,-52.3158,
318,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,
326,Kahului,US,83.46,scattered clouds,20.8947,-156.47,
327,La Suiza,CR,71.6,overcast clouds,9.8524,-83.6133,
